,tweet_id,name,type,rating_numerator,rating_denominator,rating
154,862096992088072192,None,None,13,10,1.3
156,861383897657036800,Hobbes,None,13,10,1.3
157,861288531465048066,None,None,13,10,1.3
158,861005113778896900,Burt,None,12,10,1.2
161,860563773140209665,Lorenzo,None,13,10,1.3
162,860524505164394496,Carl,None,13,10,1.3
163,860276583193509888,Jordy,None,12,10,1.2
164,860184849394610176,None,None,14,10,1.4
166,859924526012018688,Milky,None,12,10,1.2
167,859851578198683649,Trooper,None,13,10,1.3
168,859607811541651456,None,puppo,13,10,1.3
169,859196978902773760,quite,None,12,10,1.2
170,859074603037188101,None,None,13,10,1.3
172,858843525470990336,None,doggo,13,10,1.3
173,858471635011153920,Sophie,None,13,10,1.3
174,858107933456039936,Wyatt,None,12,10,1.2
175,857989990357356544,Rosie,None,12,10,1.2
176,857746408056729600,Thor,None,13,10,1.3
177,857393404942143489,None,None,13,10,1.3
178,857263160327368704,Oscar,None,13,10,1.3
179,857214891891077121,None,None,12,10,1.2
181,857029823797047296,Zeke,None,12,10,1.2
183,856543823941562368,Callie,None,12,10,1.2
184,856526610513747968,None,None,14,10,1.4
186,856288084350160898,None,None,14,10,1.4
187,856282028240666624,Cermet,None,14,10,1.4
190,855857698524602368,None,None,13,10,1.3
191,855851453814013952,None,puppo,13,10,1.3
192,855818117272018944,None,None,13,10,1.3
193,855459453768019968,quite,None,12,10,1.2
196,854732716440526848,Marlee,None,12,10,1.2
197,854482394044301312,Arya,None,13,10,1.3
198,854365224396361728,Einstein,None,13,10,1.3
199,854120357044912130,None,pupper,14,10,1.4
200,854010172552949760,None,floofer,11,10,1.1
201,853760880890318849,Alice,None,12,10,1.2
202,853639147608842240,None,None,13,10,1.3
203,853299958564483072,Rumpole,None,13,10,1.3
205,852912242202992640,Benny,None,12,10,1.2
206,852672615818899456,Aspen,None,12,10,1.2
207,852553447878664193,Jarod,None,13,10,1.3
208,852311364735569921,Wiggles,None,13,10,1.3
209,852226086759018497,General,None,14,10,1.4
210,852189679701164033,Sailor,None,12,10,1.2
213,851591660324737024,None,None,11,10,1.1
214,851464819735769094,Iggy,None,14,10,1.4
215,851224888060895234,Snoop,None,13,10,1.3
216,850753642995093505,Kyle,None,11,10,1.1
217,850380195714523136,Leo,None,13,10,1.3
218,850333567704068097,None,None,13,10,1.3
219,850145622816686080,Riley,None,11,10,1.1
220,850019790995546112,Boomer,pupper,12,10,1.2
221,849776966551130114,None,None,12,10,1.2
223,849412302885593088,Noosh,None,12,10,1.2
224,849336543269576704,None,None,11,10,1.1
225,849051919805034497,Kevin,None,13,10,1.3
226,848690551926992896,None,None,12,10,1.2
227,848324959059550208,Odin,None,12,10,1.2
228,848213670039564288,None,None,11,10,1.1
229,848212111729840128,Jerry,None,6,10,0.6
232,847962785489326080,Georgie,None,10,10,1.0
233,847842811428974592,Rontu,None,12,10,1.2
234,847617282490613760,None,None,13,10,1.3
235,847606175596138505,Cannon,None,12,10,1.2
236,847251039262605312,Furzey,None,12,10,1.2
237,847157206088847362,Daisy,None,11,10,1.1
238,847116187444137987,None,None,11,10,1.1
239,846874817362120707,Tuck,None,13,10,1.3
240,846514051647705089,Barney,doggo,13,10,1.3
241,846505985330044928,None,None,11,10,1.1
242,846153765933735936,Vixen,None,13,10,1.3
243,846139713627017216,None,None,13,10,1.3
244,846042936437604353,Jarvis,None,12,10,1.2
245,845812042753855489,None,None,13,10,1.3
246,845677943972139009,None,None,12,10,1.2
